Ia,Ib,Ic,Va,Vb,Vc,fault_type,location,A,B,C,G
0.190115640528506,0.189820937175901,0.190030319728275,1.13599574588399,1.13861963057391,1.12988446184157,NOFAULT,near_load,0,0,0,0
0.494207208939228,0.190156382864,0.637135637103044,0.759401792639845,1.13146591720689,0.653148429919459,LL,near_load,1,0,1,0
0.193779221198523,0.614527848655164,0.514244413855338,1.10643046549229,0.348971182219726,0.414105617065018,LLG,mid_line,0,1,1,1
0.80639342112299,0.710265850502936,0.722286465239955,0.199065121162209,0.216657354426914,0.216365687928432,LLL,mid_line,1,1,1,0
0.190263473219951,0.67532864730325,0.516368729806584,1.13101685221843,0.64123190987647,0.732716589239301,LL,mid_line,0,1,1,0
0.776269638971763,0.613477444081048,0.190159238355906,1.08790598875441,1.0795709390692,1.13134454785857,LL,near_source,1,1,0,0
0.190176445267048,0.676916388637516,0.518934539863829,1.13128379661738,0.861981838593153,0.892936056695736,LL,mid_line,0,1,1,0
0.839558724548879,0.701962881166117,0.190271143124036,0.635412511489267,0.698451289487204,1.13078801610373,LL,mid_line,1,1,0,0
0.657230277979611,0.190803750588496,0.699993841313113,0.442292544250649,1.10683691557268,0.35642655399238,LLG,mid_line,1,0,1,1
0.64792172678531,0.649390074232677,0.647726746262175,0.321903442745687,0.322230819193457,0.322231375737914,LLLG,mid_line,1,1,1,1
0.675437889330289,0.596671906140317,0.633721984251588,0.312503516291417,0.390362446390938,0.410257351763173,LLL,near_load,1,1,1,0
0.650107696687391,0.200168226721479,0.697331218284524,0.760935097962881,1.12426903685682,0.636314718139183,LLG,near_load,1,0,1,1
0.190575425644452,0.190394723173807,0.190649435952445,1.13057548110195,1.13180321881348,1.13176162170829,NOFAULT,mid_line,0,0,0,0
0.190133304670906,0.738589954203884,0.575761922551412,1.13117670935838,0.59848820930243,0.567560419676463,LL,near_source,0,1,1,0
0.190298840874612,0.189800914564898,0.190461421894392,1.15124050177001,1.13772216114622,1.13274866952263,NOFAULT,near_source,0,0,0,0
0.19071886009558,0.191084657810656,0.190319845478689,1.1280722886015,1.13452887417319,1.13406802249325,NOFAULT,near_load,0,0,0,0
0.806894773353469,0.779810741854525,0.762940849246295,0.20033209048718,0.185334291260405,0.114725993547181,LLLG,near_source,1,1,1,1
0.190057460934043,0.190138298165875,0.18997838618152,1.12804935245603,1.13014827297759,1.12866338465122,NOFAULT,near_load,0,0,0,0
0.832250881250338,0.641172024735038,0.61002348404486,0.388342661826605,0.681423207141088,0.724758578567232,LLLG,near_load,1,1,1,1
0.16530447880379,0.826176894533291,0.81650236540389,1.09485488560081,0.610267922813797,0.609174365448195,LLG,near_source,0,1,1,1
0.190296913124827,0.190583878453991,0.189867015920008,1.12091039096303,1.12746472911335,1.13006122880538,NOFAULT,near_load,0,0,0,0
0.735351906171448,0.681875786335018,0.178802736615795,0.227554336423832,0.207638770023558,1.10731461134421,LLG,near_source,1,1,0,1
0.608157735650218,0.1870240856793,0.634945204711139,0.457668509151436,1.10863006447728,0.571866688386839,LLG,near_source,1,0,1,1
0.743946610205657,0.718026856603282,0.177332719863961,0.371519581758298,0.300634964560979,1.10168756726573,LLG,near_source,1,1,0,1
0.592366006373484,0.19015855314329,0.706569611931203,0.833916480883166,1.13127183008266,0.692010794911569,LL,near_load,1,0,1,0
0.189802644787468,0.190134208443416,0.190057582509546,1.13197419124955,1.12946639211127,1.1305685746749,NOFAULT,near_source,0,0,0,0
0.665571407613249,0.613015171029481,0.187834472679111,0.415321865499325,0.310398594213277,1.10719863004271,LLG,near_source,1,1,0,1
0.190324969476179,0.596151242350853,0.439004500507727,1.13111629343798,0.703953015874254,0.846102681309861,LL,near_load,0,1,1,0
0.19050043963883,0.190528371902576,0.190673347107656,1.13073556117712,1.13148300412673,1.13105078995477,NOFAULT,mid_line,0,0,0,0
0.190355383461544,0.594771313971233,0.436746381500615,1.13164257004564,0.583044160093515,0.695684436067305,LL,near_load,0,1,1,0
0.580331670716751,0.431233089521511,0.190168264415121,0.609217827430976,0.733305052322295,1.13127739964766,LL,near_load,1,1,0,0
0.69868214241172,0.696998973990939,0.701345722863555,0.524699519550042,0.565533719652683,0.565990430049325,LLL,near_source,1,1,1,0
0.679398066503701,0.679181213716022,0.679243779569726,0.514325664878715,0.513434914704981,0.508351495741838,LLL,near_source,1,1,1,0
0.395081502721227,0.158261498570907,0.227814573482257,0.552119543340921,1.0849567005048,1.1458013871927,LG,near_load,1,0,0,1
